DateTime,RawConc
2018-05-22,16.714285714285715
2018-05-23,13.958333333333334
2018-05-24,12.958333333333334
2018-05-25,18.75
2018-05-26,22.166666666666668
2018-05-27,19.666666666666668
2018-05-28,15.333333333333334
2018-05-29,14.208333333333334
2018-05-30,15.73913043478261
2018-05-31,18.375
2018-06-01,24.333333333333332
2018-06-02,15.125
2018-06-03,18.125
2018-06-04,13.272222222222222
2018-06-05,11.391304347826088
2018-06-06,12.083333333333334
2018-06-07,14.25
2018-06-08,12.416666666666666
2018-06-09,12.041666666666666
2018-06-10,19.833333333333332
2018-06-11,21.708333333333332
2018-06-12,23.375
2018-06-13,12.291666666666666
2018-06-14,12.083333333333334
2018-06-15,4.125
2018-06-16,13.708333333333334
2018-06-17,20.708333333333332
2018-06-18,17.458333333333332
2018-06-19,17.458333333333332
2018-06-20,19.75
2018-06-21,21.666666666666668
2018-06-22,16.916666666666668
2018-06-23,9.208333333333334
2018-06-24,10.291666666666666
2018-06-25,13.0
2018-06-26,14.333333333333334
2018-06-27,10.625
2018-06-28,9.916666666666666
2018-06-29,17.875
2018-06-30,18.041666666666668
2018-07-01,11.458333333333334
2018-07-02,17.625
2018-07-03,21.25
2018-07-04,26.875
2018-07-05,16.714285714285715
2018-07-06,18.291666666666668
2018-07-07,12.0
2018-07-08,12.875
2018-07-09,15.208333333333334
2018-07-10,17.833333333333332
2018-07-11,13.541666666666666
2018-07-12,26.916666666666668
2018-07-13,23.208333333333332
2018-07-14,21.541666666666668
2018-07-15,19.375
2018-07-16,19.05263157894737
2018-07-17,8.166666666666666
2018-07-18,14.583333333333334
2018-07-19,17.166666666666668
2018-07-20,19.583333333333332
2018-07-21,16.5
2018-07-22,14.166666666666666
2018-07-23,17.625
2018-07-24,17.791666666666668
2018-07-25,16.416666666666668
2018-07-26,20.041666666666668
2018-07-27,16.26086956521739
2018-07-28,15.875
2018-07-29,19.375
2018-07-30,17.541666666666668
2018-07-31,21.291666666666668
2018-08-01,20.541666666666668
2018-08-02,27.041666666666668
2018-08-03,24.458333333333332
2018-08-04,23.166666666666668
2018-08-05,12.875
2018-08-06,16.916666666666668
2018-08-07,27.333333333333332
2018-08-08,25.166666666666668
2018-08-09,28.25
2018-08-10,23.208333333333332
2018-08-11,35.666666666666664
2018-08-12,32.25
2018-08-13,17.875
2018-08-14,15.375
2018-08-15,15.083333333333334
2018-08-16,18.25
2018-08-17,15.875
2018-08-18,22.166666666666668
2018-08-19,25.083333333333332
2018-08-20,18.708333333333332
2018-08-21,22.625
2018-08-22,22.416666666666668
2018-08-23,15.083333333333334
2018-08-24,12.708333333333334
2018-08-25,13.5
2018-08-26,10.5
2018-08-27,7.041666666666667
2018-08-28,17.25
2018-08-29,25.583333333333332
2018-08-30,21.291666666666668
2018-08-31,27.08695652173913
2018-09-01,24.125
2018-09-02,19.333333333333332
2018-09-03,15.958333333333334
2018-09-04,9.0
2018-09-05,9.875
2018-09-06,18.541666666666668
2018-09-07,17.958333333333332
2018-09-08,15.666666666666666
2018-09-09,19.541666666666668
2018-09-10,17.041666666666668
2018-09-11,15.583333333333334
2018-09-12,17.75
2018-09-13,21.208333333333332
2018-09-14,14.333333333333334
2018-09-15,23.583333333333332
2018-09-16,17.083333333333332
2018-09-17,13.125
2018-09-18,14.041666666666666
2018-09-19,16.166666666666668
2018-09-20,22.166666666666668
2018-09-21,27.416666666666668
2018-09-22,25.75
2018-09-23,19.5
2018-09-24,12.958333333333334
2018-09-25,9.833333333333334
2018-09-26,7.75
2018-09-27,20.583333333333332
2018-09-28,24.458333333333332
2018-09-29,25.208333333333332
2018-09-30,10.25
2018-10-01,19.1
2018-10-02,19.875
2018-10-03,26.75
2018-10-04,19.125
2018-10-05,41.8235294117647
2018-10-06,39.833333333333336
2018-10-07,13.083333333333334
2018-10-08,20.75
2018-10-09,25.0
2018-10-10,22.875
2018-10-11,29.375
2018-10-12,34.541666666666664
2018-10-13,34.833333333333336
2018-10-14,37.583333333333336
2018-10-15,36.375
2018-10-16,36.375
2018-10-17,37.666666666666664
2018-10-18,42.375
2018-10-19,60.416666666666664
2018-10-20,44.75
2018-10-21,34.291666666666664
2018-10-22,27.3
2018-10-23,42.611111111111114
2018-10-24,63.333333333333336
2018-10-25,13.291666666666666
2018-10-26,38.708333333333336
2018-10-27,23.666666666666668
2018-10-28,5.52
2018-10-29,8.130434782608695
2018-10-30,13.625
2018-10-31,25.17391304347826
2018-11-01,31.375
2018-11-02,30.208333333333332
2018-11-03,29.0
2018-11-04,58.458333333333336
2018-11-05,88.26315789473684
2018-11-06,42.583333333333336
2018-11-07,46.0
2018-11-08,37.08695652173913
2018-11-09,58.608695652173914
2018-11-10,55.791666666666664
2018-11-11,42.583333333333336
2018-11-12,50.416666666666664
2018-11-13,75.04166666666667
2018-11-14,58.541666666666664
2018-11-15,42.791666666666664
2018-11-16,21.25
2018-11-17,11.208333333333334
2018-11-18,23.916666666666668
2018-11-19,39.208333333333336
2018-11-20,64.45833333333333
2018-11-21,62.958333333333336
2018-11-22,63.875
2018-11-23,45.583333333333336
2018-11-24,91.125
2018-11-25,120.45833333333333
2018-11-26,34.666666666666664
2018-11-27,33.125
2018-11-28,20.458333333333332
2018-11-29,19.75
2018-11-30,28.952380952380953
2018-12-01,150.83333333333334
2018-12-02,244.45833333333334
2018-12-03,266.8333333333333
2018-12-04,246.66666666666666
2018-12-05,45.083333333333336
2018-12-06,87.41666666666667
2018-12-07,176.875
2018-12-08,176.75
2018-12-09,49.666666666666664
2018-12-10,47.541666666666664
